,Molecule ChEMBL ID,Canonical_Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
3946,CHEMBL1242198,CC(C)n1nc(-c2cc(O)cc(F)c2)c2c(N)ncnc21,6.239577516576788,287.118238288,6,2,2.501099999999999,True
3947,CHEMBL93754,O=C(/C=C/Cn1cccn1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,5.949233688766958,448.064721264,6,2,4.527300000000003,True
3948,CHEMBL1257795,N#Cc1ccc2c(c1)C(c1ccccc1F)=Nc1c[nH]nc1N2,4.962573502059376,303.09202354,4,2,3.646580000000001,True
3949,CHEMBL1812491,Cn1cccc1-c1nc2cc(NC(=O)CCl)ccc2[nH]1,4.91829272990265,288.07778871600004,3,2,2.745700000000001,True
3950,CHEMBL122522,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2)c1O,3.431798275933005,322.07759868799997,5,1,4.123660000000004,True
3951,CHEMBL204330,COc1cc(OC2CCN(C(C)=O)CC2)c2c(Nc3ccc(F)c(Cl)c3)ncnc2c1,6.0589857562944305,444.1364464640001,6,1,4.564200000000004,True
3952,CHEMBL2112369,COC[C@@H]1CCCN1C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.7121982700697735,495.12698717200004,6,2,4.741400000000003,True
3953,CHEMBL176470,Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccccc1CNCCO,5.1938200260161125,359.174610292,6,3,2.7516000000000003,True
3954,CHEMBL1914674,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(C#N)cc3)cc12)c1ccc(F)cc1,7.853871964321762,357.13897373199995,4,2,4.808780000000002,True
3957,CHEMBL1241579,C[C@H](CN)n1nc(-c2ccc(Cl)c(O)c2)c2c(N)ncnc21,5.318758762624412,318.09958678000004,7,3,1.9542,True
3958,CHEMBL207718,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1,7.698970004336019,458.16332990800004,7,2,2.775800000000001,True
3959,CHEMBL205284,Fc1cccc(COc2ccc(Nc3ncncc3C#Cc3cc[nH]n3)cc2Cl)c1,7.376750709602099,419.09491600000007,5,2,4.714600000000002,True
3960,CHEMBL1242847,COc1ccc(-c2nn(C(C)C)c3ncnc(N)c23)cc1,5.366531544420413,283.143310164,6,1,2.665,True
3961,CHEMBL1241485,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)ccc1N,5.414539270491499,298.154209196,7,2,2.2472,True
3962,CHEMBL1240545,CC(C)n1nc(-c2ccc(CC#N)cc2)c2c(N)ncnc21,4.886056647693163,292.143644512,6,1,2.72248,True
3963,CHEMBL1241862,CC(C)n1nc(-c2ccc(C(N)=O)c(Cl)c2)c2c(N)ncnc21,4.0,330.0995867800001,6,2,2.4087000000000005,True
3964,CHEMBL1242659,CCOc1ccc(-c2nn(C3CCCCC3)c3ncnc(N)c23)cc1OC,5.935542010773082,367.20082504000004,7,1,3.988000000000002,True
3965,CHEMBL1242660,COc1cc(-c2nn(C(C)C)c3ncnc(N)c23)cc(OC)c1OC,5.289036881004725,343.16443953199996,8,1,2.682200000000001,True
3966,CHEMBL118321,COc1cc(C=C(C#N)C#N)cc(CSc2ccccc2C(=O)O)c1O,5.100000128334196,366.0674279279999,6,2,3.8218600000000023,True
3967,CHEMBL109515,COCCOc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1OCCOC,5.95999928552668,471.07936828399994,7,1,4.662980000000004,True
3968,CHEMBL555921,COc1cccc2c1sc1c(Nc3cccc(Br)c3)ncnc12,7.899629454882437,384.98844510400005,5,1,5.359200000000002,True
3969,CHEMBL1928716,Oc1ccccc1CNc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,5.450996737974212,376.10908884400004,5,3,5.344500000000003,True
3970,CHEMBL347282,Nc1ccc2sc3c(Nc4cccc(C(F)(F)F)c4)ncnc3c2c1,7.327902142064282,360.06565201200004,5,2,5.189100000000002,True
3971,CHEMBL57990,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN(C)C,7.309803919971486,404.141531844,6,1,4.5050000000000034,True
3972,CHEMBL1830270,NC(=S)N/N=C(/C=C/c1ccc(-c2ccccc2)cc1)c1ccccc1,5.291579099865287,357.129968608,2,2,4.604300000000003,True
3973,CHEMBL1830280,NC(=S)N/N=C(/C=C/c1cccc2ccccc12)c1ccccc1,6.3872161432802645,331.114318544,2,2,4.090500000000002,True
3974,CHEMBL364623,Cc1cc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)nc(C)n1,5.2839966563652006,373.07640881200007,6,2,4.507660000000002,True
3975,CHEMBL1828877,O=C(Cc1ccc(Br)cc1)NS(=O)(=O)c1ccc(F)cc1,4.837734385701978,370.96270453200003,3,1,2.6358000000000006,True
